Year	Tin (98$/t)	Copper (98$/t)	Nickel (98$/t)	Tungsten (98$/t)	Chromium (98$/t)
1900	12900	7000	22000	11000	1090
1901	7220	7000	24000	7000	1160
1902	11200	4800	19000	8000	882
1903	11300	5300	16000	6300	765
1904	11200	5100	16000	10000	836
1905	12600	6300	16000	14000	769
1906	15900	7700	16000	16000	738
1907	14800	7700	17000	22000	652
1908	11800	5300	18000	14000	731
1909	11900	5300	16000	16000	685
1910	13200	5000	15000	18700	608
1911	16400	4900	15000	15000	603
1912	17200	6200	15000	14800	498
1913	16100	5630	15300	16600	501
1914	12300	4760	14700	16600	449
1915	13700	6180	14600	65800	526
1916	14300	9360	13800	70700	660
1917	17400	8190	11800	32600	750
1918	21100	5890	9760	34900	1280
1919	13200	3780	8320	23600	680
1920	8660	3140	7530	8910	333
1921	5990	2540	8420	10900	232
1922	6980	2900	8140	12600	255
1923	8960	3100	7560	13300	265
1924	10500	2790	6300	11200	280
1925	11900	2920	6800	13700	239
1926	13200	2840	7280	14200	232
1927	13300	2690	7220	13500	235
1928	10600	3110	7770	13800	240
1929	9490	3850	7350	17400	255
1930	6850	2860	7570	16400	334
1931	5790	1980	8270	16400	498
1932	5770	1520	9190	15200	635
1933	10800	2020	9670	16700	503
1934	14000	2330	9390	24600	480
1935	13200	2330	9190	22100	530
1936	12000	2520	9050	24200	529
1937	13600	3350	8740	30700	482
1938	10800	2610	8930	27800	494
1939	13000	2900	9050	27900	477
1940	12800	2960	8990	33400	486
1941	12700	2930	8560	36100	455
1942	11500	2650	7050	33500	562
1943	10800	2500	6650	32900	617
1944	10600	2450	6530	30100	651
1945	10400	2410	6410	29200	634
1946	10000	2580	6430	23400	434
1947	12500	3420	5640	23800	466
1948	14800	3320	5370	24700	513
1949	15000	2940	6040	25100	522
1950	14200	3210	6700	26600	503
1951	17500	3400	7440	53200	501
1952	16300	3310	7730	54300	580
1953	12900	3910	8050	53000	669
1954	12300	4000	8180	52800	516
1955	12700	5040	8900	52300	523
1956	13400	5540	8560	48300	577
1957	12300	3840	9480	19900	652
1958	11800	3280	9210	13800	631
1959	12600	3820	9110	16000	756
1960	12300	3920	8960	17100	476
1961	13700	3630	9400	16200	379
1962	13700	3670	9510	17300	673
1963	13700	3640	9260	15700	619
1964	18300	3750	9160	14800	652
1965	20400	4020	9020	19700	670
1966	18200	3990	8740	23300	609
1967	16500	4100	9460	20000	644
1968	15300	4260	9810	23200	645
1969	16100	4650	10300	23300	614
1970	16100	5380	11900	23700	538
1971	14800	4620	11800	26200	755
1972	15300	4420	12100	22100	767
1973	18400	4810	12400	22000	774
1974	28900	5630	12700	34800	1060
1975	22700	4290	13800	35400	1780
1976	24000	4390	14200	40100	1440
1977	31700	3960	13400	54300	1340
1978	34700	3630	11300	45300	1150
1979	36400	4570	13200	41600	1310
1980	36900	4420	12300	36600	1260
1981	29000	3330	10700	31500	1270
1982	24400	2710	8130	23700	1150
1983	23600	2760	7650	17000	1060
1984	21600	2310	7490	17900	1140
1985	19900	2240	7540	14100	1160
1986	12600	2170	5770	10500	1010
1987	13200	2610	6940	9110	944
1988	13400	3660	19000	10300	1440
1989	15100	3800	17500	13900	1630
1990	10600	3380	11100	10600	1110
1991	9600	2890	9760	11800	1080
1992	10300	2750	8130	10800	1020
1993	8700	2280	5970	7690	777
1994	8950	2690	6970	10400	764
1995	9800	3260	8800	13200	1300
1996	9450	2500	7790	10800	970
1997	8540	2400	7040	9810	1040
1998	8230	1730	4630	8300	909
1999	7900	1640	5880	6920	694
2000	7730	1840	8180	7840	721
2001	6390	1560	5470	11500	786
2002	5830	1510	6130	8230	721
2003	6640	1670	8530	7720	790
2004	10400	2550	11900	10000	1190
2005	8850	3200	12300	24900	1260
2006	10100	5610	19600	29900	1140
2007	15600	5680	29300	28200	1580
2008	18900	5330	16000	26600	2640
2009	14100	4040	11100	19500	1540
2010	20400	5740	16300	20200	1980
2011	25100	6490	16600	33900	1970
2012	20100	5750	12400	40200	1810
2013	16000	5240	10500	32600	1650
2014	15600	4830	11600	31100	1670
2015	11500	3890	8120	26000	1540
